Tue Sep 29 2020 23:08:13 GMT-0700 (Mountain Standard Time) | ::1 | INFO | User logged in: author
Tue Sep 29 2020 23:08:15 GMT-0700 (Mountain Standard Time) | ::1 | INFO | User logged out: author
Tue Sep 29 2020 23:08:18 GMT-0700 (Mountain Standard Time) | ::1 | INFO | Failed login attempt: author
Tue Sep 29 2020 23:08:31 GMT-0700 (Mountain Standard Time) | ::1 | INFO | User logged in: author
Tue Sep 29 2020 23:18:32 GMT-0700 (Mountain Standard Time) | ::1 | INFO | Failed login attempt: author
Tue Sep 29 2020 23:18:45 GMT-0700 (Mountain Standard Time) | ::1 | INFO | User logged in: author
Tue Sep 29 2020 23:19:27 GMT-0700 (Mountain Standard Time) | ::1 | INFO | User logged out: author
Tue Sep 29 2020 23:19:46 GMT-0700 (Mountain Standard Time) | ::1 | INFO | User logged in: subscriber
Tue Sep 29 2020 23:19:49 GMT-0700 (Mountain Standard Time) | ::1 | INFO | User logged out: subscriber
Tue Sep 29 2020 23:29:22 GMT-0700 (Mountain Standard Time) | 127.0.0.1 | INFO | User logged in: subscriber
Tue Sep 29 2020 23:30:37 GMT-0700 (Mountain Standard Time) | 127.0.0.1 | INFO | User logged out: subscriber
Tue Sep 29 2020 23:30:59 GMT-0700 (Mountain Standard Time) | 127.0.0.1 | INFO | Failed login attempt: author
Tue Sep 29 2020 23:32:17 GMT-0700 (Mountain Standard Time) | 192.168.0.180 | INFO | Failed login attempt: guest
Tue Sep 29 2020 23:33:26 GMT-0700 (Mountain Standard Time) | 192.168.0.82 | INFO | User logged in: guest
Tue Sep 29 2020 23:33:39 GMT-0700 (Mountain Standard Time) | 192.168.0.82 | INFO | User logged out: guest
Tue Sep 29 2020 23:34:02 GMT-0700 (Mountain Standard Time) | 192.168.0.82 | INFO | Failed login attempt: subscriber
Tue Sep 29 2020 23:35:08 GMT-0700 (Mountain Standard Time) | 192.168.0.82 | INFO | User logged in: guest
Tue Sep 29 2020 23:35:31 GMT-0700 (Mountain Standard Time) | 192.168.0.82 | INFO | User logged out: guest
Tue Sep 29 2020 23:37:02 GMT-0700 (Mountain Standard Time) | 192.168.0.82 | INFO | User logged in: author
Tue Sep 29 2020 23:41:21 GMT-0700 (Mountain Standard Time) | ::ffff:127.0.0.1 | INFO | User logged in: guest
Tue Sep 29 2020 23:41:50 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author
Tue Sep 29 2020 23:41:54 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: author
Tue Sep 29 2020 23:42:22 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author
Tue Sep 29 2020 23:44:20 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged in: author
Tue Sep 29 2020 23:44:44 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author
